HINT_WALL 1
nfp = 5
stellarator_symmetric = true
toroidal_planes = 21
poloidal_points = 72
DATA
# phi [rad]  R [m]  Z [m]; implicit poloidal closing segment
0.00000000000000000e+00 5.27094000000000040e+00 6.54795000000000016e-01
0.00000000000000000e+00 5.31134000000000039e+00 5.94590000000000063e-01
0.00000000000000000e+00 5.35982000000000003e+00 5.40980000000000016e-01
0.00000000000000000e+00 5.40662999999999982e+00 4.88435000000000008e-01
0.00000000000000000e+00 5.44618000000000091e+00 4.32648000000000033e-01
0.00000000000000000e+00 5.47779999999999934e+00 3.72591999999999979e-01
0.00000000000000000e+00 5.50565000000000015e+00 3.08159000000000016e-01
0.00000000000000000e+00 5.53389000000000042e+00 2.39570000000000005e-01
0.00000000000000000e+00 5.55965000000000042e+00 1.66356000000000004e-01
0.00000000000000000e+00 5.57621999999999929e+00 8.63507000000000025e-02
0.00000000000000000e+00 5.58148000000000000e+00 1.51793000000000015e-07
0.00000000000000000e+00 5.57621999999999929e+00 -8.63503999999999938e-02
0.00000000000000000e+00 5.55965000000000042e+00 -1.66355000000000003e-01
0.00000000000000000e+00 5.53389000000000042e+00 -2.39570000000000005e-01
0.00000000000000000e+00 5.50565000000000015e+00 -3.08157999999999987e-01
0.00000000000000000e+00 5.47779999999999934e+00 -3.72591999999999979e-01
0.00000000000000000e+00 5.44618000000000091e+00 -4.32648000000000033e-01
0.00000000000000000e+00 5.40662999999999982e+00 -4.88435000000000008e-01
0.00000000000000000e+00 5.35982000000000003e+00 -5.40980000000000016e-01
0.00000000000000000e+00 5.31134000000000039e+00 -5.94590000000000063e-01
0.00000000000000000e+00 5.27094000000000040e+00 -6.54795000000000016e-01
0.00000000000000000e+00 5.24605000000000032e+00 -7.21628999999999965e-01
0.00000000000000000e+00 5.23417000000000066e+00 -7.89538999999999991e-01
0.00000000000000000e+00 5.22770999999999919e+00 -8.54291999999999940e-01
0.00000000000000000e+00 5.22440000000000015e+00 -9.15212999999999943e-01
0.00000000000000000e+00 5.22640999999999956e+00 -9.72180000000000044e-01
0.00000000000000000e+00 5.23448999999999920e+00 -1.02492000000000005e+00
0.00000000000000000e+00 5.24960000000000004e+00 -1.07355000000000000e+00
0.00000000000000000e+00 5.27496999999999971e+00 -1.11783000000000010e+00
0.00000000000000000e+00 5.31282999999999994e+00 -1.15751999999999988e+00
0.00000000000000000e+00 5.36373999999999995e+00 -1.19255000000000000e+00
0.00000000000000000e+00 5.42884000000000011e+00 -1.22058000000000000e+00
0.00000000000000000e+00 5.50754000000000055e+00 -1.23741999999999996e+00
