HINT_WALL 1
nfp = 3
stellarator_symmetric = true
toroidal_planes = 65
poloidal_points = 204
DATA
# phi [rad]  R [m]  Z [m]; implicit poloidal closing segment
0.00000000000000000e+00 1.13523479034259545e+00 9.64322951536568107e-01
0.00000000000000000e+00 1.10693503396255966e+00 9.56133230736166073e-01
0.00000000000000000e+00 1.07942670907501403e+00 9.45462445471513924e-01
0.00000000000000000e+00 1.05322234722636709e+00 9.31808573540594431e-01
0.00000000000000000e+00 1.02905534910576191e+00 9.14818108929837170e-01
0.00000000000000000e+00 1.00776792046481289e+00 8.94420043268410181e-01
0.00000000000000000e+00 9.90106358194059566e-01 8.70887388087269398e-01
0.00000000000000000e+00 9.76510170418555257e-01 8.44795705184501755e-01
0.00000000000000000e+00 9.66998846917670241e-01 8.16891072154590003e-01
0.00000000000000000e+00 9.61215930617044800e-01 7.87918945974699469e-01
0.00000000000000000e+00 9.58608403116099406e-01 7.58480987811870788e-01
0.00000000000000000e+00 9.58649933280542710e-01 7.28971192403876422e-01
0.00000000000000000e+00 9.61001411600974631e-01 6.99603747712568502e-01
0.00000000000000000e+00 9.65547793637887786e-01 6.70502796112296906e-01
0.00000000000000000e+00 9.72323941785753210e-01 6.41799670195130179e-01
0.00000000000000000e+00 9.81396004324998850e-01 6.13687277068986847e-01
0.00000000000000000e+00 9.92769105950318642e-01 5.86409740992874018e-01
0.00000000000000000e+00 1.00635360596623680e+00 5.60201476315696723e-01
0.00000000000000000e+00 1.02197558732142557e+00 5.35214151287282780e-01
0.00000000000000000e+00 1.03939686767021100e+00 5.11471088883878267e-01
0.00000000000000000e+00 1.05832425132808883e+00 4.88868732640142079e-01
0.00000000000000000e+00 1.07841642793357395e+00 4.67217390566472712e-01
0.00000000000000000e+00 1.09931006183129809e+00 4.46294782008501978e-01
0.00000000000000000e+00 1.12067122351111181e+00 4.25885322721792914e-01
0.00000000000000000e+00 1.14224904905782987e+00 4.05793238899623154e-01
0.00000000000000000e+00 1.16389447458085704e+00 3.85836900599925703e-01
0.00000000000000000e+00 1.18552550874059937e+00 3.65842307310023596e-01
0.00000000000000000e+00 1.20706054452914668e+00 3.45649488051559706e-01
0.00000000000000000e+00 1.22836993537015982e+00 3.25131056168403543e-01
0.00000000000000000e+00 1.24928590307382370e+00 3.04208506458702233e-01
0.00000000000000000e+00 1.26966427157475192e+00 2.82849322440046236e-01
0.00000000000000000e+00 1.28944284206835813e+00 2.61038913763683100e-01
0.00000000000000000e+00 1.30863170666003370e+00 2.38738703783051454e-01
0.00000000000000000e+00 1.32721514004457708e+00 2.15853573789315856e-01
0.00000000000000000e+00 1.34501553010358244e+00 1.92229866905714891e-01
0.00000000000000000e+00 1.36161441503040015e+00 1.67689785176384332e-01
0.00000000000000000e+00 1.37640480364988216e+00 1.42088514474447314e-01
0.00000000000000000e+00 1.38876884835594172e+00 1.15368669066752555e-01
0.00000000000000000e+00 1.39828747915634155e+00 8.75894434183283471e-02
0.00000000000000000e+00 1.40485654952930261e+00 5.89226137390273103e-02
0.00000000000000000e+00 1.40863544654238382e+00 2.96243254793269878e-02
0.00000000000000000e+00 1.40985930768849910e+00 1.12164572161806675e-16
0.00000000000000000e+00 1.40863544654238382e+00 -2.96243254793267623e-02
0.00000000000000000e+00 1.40485654952930261e+00 -5.89226137390266996e-02
0.00000000000000000e+00 1.39828747915634199e+00 -8.75894434183276532e-02
0.00000000000000000e+00 1.38876884835594172e+00 -1.15368669066752347e-01
0.00000000000000000e+00 1.37640480364988260e+00 -1.42088514474447064e-01
0.00000000000000000e+00 1.36161441503040037e+00 -1.67689785176384137e-01
0.00000000000000000e+00 1.34501553010358221e+00 -1.92229866905714641e-01
0.00000000000000000e+00 1.32721514004457775e+00 -2.15853573789315356e-01
0.00000000000000000e+00 1.30863170666003481e+00 -2.38738703783050926e-01
0.00000000000000000e+00 1.28944284206835813e+00 -2.61038913763683267e-01
0.00000000000000000e+00 1.26966427157475215e+00 -2.82849322440046180e-01
0.00000000000000000e+00 1.24928590307382370e+00 -3.04208506458702121e-01
0.00000000000000000e+00 1.22836993537015982e+00 -3.25131056168403265e-01
0.00000000000000000e+00 1.20706054452914713e+00 -3.45649488051559595e-01
0.00000000000000000e+00 1.18552550874059981e+00 -3.65842307310022874e-01
0.00000000000000000e+00 1.16389447458085726e+00 -3.85836900599925259e-01
0.00000000000000000e+00 1.14224904905782987e+00 -4.05793238899623265e-01
0.00000000000000000e+00 1.12067122351111204e+00 -4.25885322721792803e-01
0.00000000000000000e+00 1.09931006183129831e+00 -4.46294782008501867e-01
0.00000000000000000e+00 1.07841642793357417e+00 -4.67217390566472601e-01
0.00000000000000000e+00 1.05832425132808905e+00 -4.88868732640141801e-01
0.00000000000000000e+00 1.03939686767021100e+00 -5.11471088883878156e-01
0.00000000000000000e+00 1.02197558732142579e+00 -5.35214151287283113e-01
0.00000000000000000e+00 1.00635360596623724e+00 -5.60201476315696612e-01
0.00000000000000000e+00 9.92769105950318753e-01 -5.86409740992873907e-01
0.00000000000000000e+00 9.81396004324998628e-01 -6.13687277068986514e-01
0.00000000000000000e+00 9.72323941785753210e-01 -6.41799670195129845e-01
0.00000000000000000e+00 9.65547793637888119e-01 -6.70502796112295796e-01
0.00000000000000000e+00 9.61001411600974631e-01 -6.99603747712567392e-01
0.00000000000000000e+00 9.58649933280542266e-01 -7.28971192403876311e-01
0.00000000000000000e+00 9.58608403116099184e-01 -7.58480987811870677e-01
0.00000000000000000e+00 9.61215930617044800e-01 -7.87918945974699136e-01
0.00000000000000000e+00 9.66998846917669685e-01 -8.16891072154589781e-01
0.00000000000000000e+00 9.76510170418554702e-01 -8.44795705184501422e-01
0.00000000000000000e+00 9.90106358194059233e-01 -8.70887388087268732e-01
0.00000000000000000e+00 1.00776792046481289e+00 -8.94420043268410403e-01
0.00000000000000000e+00 1.02905534910576169e+00 -9.14818108929836837e-01
0.00000000000000000e+00 1.05322234722636709e+00 -9.31808573540594431e-01
0.00000000000000000e+00 1.07942670907501381e+00 -9.45462445471514035e-01
0.00000000000000000e+00 1.10693503396255966e+00 -9.56133230736165962e-01
0.00000000000000000e+00 1.13523479034259522e+00 -9.64322951536568218e-01
0.00000000000000000e+00 1.16402988514556816e+00 -9.70532479924516189e-01
0.00000000000000000e+00 1.19316079006079390e+00 -9.75151437592722603e-01
0.00000000000000000e+00 1.22251809078941154e+00 -9.78417265919927837e-01
0.00000000000000000e+00 1.25199887513529240e+00 -9.80438571130270997e-01
0.00000000000000000e+00 1.28151072146967882e+00 -9.81252342308644554e-01
0.00000000000000000e+00 1.31099311464320234e+00 -9.80878901094356714e-01
0.00000000000000000e+00 1.34042274810034256e+00 -9.79351362265818204e-01
0.00000000000000000e+00 1.36979278432099405e+00 -9.76717249742510729e-01
0.00000000000000000e+00 1.39908314900480035e+00 -9.73025771041074905e-01
0.00000000000000000e+00 1.42824710437147973e+00 -9.68317565439560823e-01
0.00000000000000000e+00 1.45722455102384152e+00 -9.62625789889269945e-01
0.00000000000000000e+00 1.48596958790566980e+00 -9.55985952651235205e-01
0.00000000000000000e+00 1.51446870451523763e+00 -9.48445252067572464e-01
0.00000000000000000e+00 1.54273506730145660e+00 -9.40063815277079051e-01
0.00000000000000000e+00 1.57078490356975853e+00 -9.30907381526544953e-01
0.00000000000000000e+00 1.59861638489197611e+00 -9.21037487804607924e-01
0.00000000000000000e+00 1.62620818453969718e+00 -9.10506334799290440e-01
0.00000000000000000e+00 1.65353763072903504e+00 -8.99359051901637896e-01
0.00000000000000000e+00 1.68060198693433627e+00 -8.87639998573113043e-01
0.00000000000000000e+00 1.70742430167850512e+00 -8.75396796873514571e-01
0.00000000000000000e+00 1.73403858986918613e+00 -8.62677966226125470e-01
0.00000000000000000e+00 1.76046628592668131e+00 -8.49525303895126704e-01
0.00000000000000000e+00 1.78670272182730994e+00 -8.35966326644663638e-01
0.00000000000000000e+00 1.81272365129398794e+00 -8.22012084135432697e-01
0.00000000000000000e+00 1.83850529147870856e+00 -8.07661732371127927e-01
0.00000000000000000e+00 1.86404080768165548e+00 -7.92910580030309564e-01
0.00000000000000000e+00 1.88934001745433511e+00 -7.77756383980311883e-01
0.00000000000000000e+00 1.91441362673853521e+00 -7.62200647572040757e-01
0.00000000000000000e+00 1.93925617116007198e+00 -7.46245711817431268e-01
0.00000000000000000e+00 1.96384243740702891e+00 -7.29891282154412235e-01
0.00000000000000000e+00 1.98814033815064062e+00 -7.13133665875169243e-01
0.00000000000000000e+00 2.01212914814519372e+00 -6.95968068219959268e-01
0.00000000000000000e+00 2.03580748479169849e+00 -6.78391450893266468e-01
0.00000000000000000e+00 2.05918409931665858e+00 -6.60403070489933852e-01
0.00000000000000000e+00 2.08225904998325317e+00 -6.42002068176475649e-01
0.00000000000000000e+00 2.10501097980659946e+00 -6.23184299889854465e-01
0.00000000000000000e+00 2.12740119007305495e+00 -6.03941445224595364e-01
0.00000000000000000e+00 2.14939113858833064e+00 -5.84263486483284522e-01
0.00000000000000000e+00 2.17095856481313376e+00 -5.64142524149387481e-01
0.00000000000000000e+00 2.19209819733923794e+00 -5.43574337143180153e-01
0.00000000000000000e+00 2.21280548558946011e+00 -5.22555665035909778e-01
0.00000000000000000e+00 2.23305590914072205e+00 -5.01078839899215089e-01
0.00000000000000000e+00 2.25279660746912391e+00 -4.79128174629158854e-01
0.00000000000000000e+00 2.27195774067622436e+00 -4.56681900822884901e-01
0.00000000000000000e+00 2.29047541929265419e+00 -4.33719500995127905e-01
0.00000000000000000e+00 2.30830854408465846e+00 -4.10229826403726738e-01
0.00000000000000000e+00 2.32543598300461785e+00 -3.86213989396576973e-01
0.00000000000000000e+00 2.34183498770843368e+00 -3.61680169869786960e-01
0.00000000000000000e+00 2.35745542108308204e+00 -3.36633266565749878e-01
0.00000000000000000e+00 2.37220700227255454e+00 -3.11066639061519601e-01
0.00000000000000000e+00 2.38596705144537857e+00 -2.84962685488443335e-01
0.00000000000000000e+00 2.39860231900982734e+00 -2.58303670738967872e-01
0.00000000000000000e+00 2.40999115587184853e+00 -2.31087540961589760e-01
0.00000000000000000e+00 2.42003616353130724e+00 -2.03339992464679847e-01
0.00000000000000000e+00 2.42866778965876318e+00 -1.75116188743456969e-01
0.00000000000000000e+00 2.43584647253091990e+00 -1.46491742178612966e-01
0.00000000000000000e+00 2.44156876399088585e+00 -1.17548635279395755e-01
0.00000000000000000e+00 2.44587391489131889e+00 -8.83637105015557256e-02
0.00000000000000000e+00 2.44884055634792697e+00 -5.90043548532077078e-02
0.00000000000000000e+00 2.45056577155458655e+00 -2.95306960805103505e-02
1.63624617374468380e-02 2.44849750628887275e+00 4.05753272495962470e-05
1.63624617374468380e-02 2.44767995361160029e+00 2.95500192309096736e-02
1.63624617374468380e-02 2.44571732890495985e+00 5.90459180257853697e-02
1.63624617374468380e-02 2.44254021383325792e+00 8.84530078642297019e-02
1.63624617374468380e-02 2.43805858390119878e+00 1.17689087258913930e-01
1.63624617374468380e-02 2.43219563177470510e+00 1.46672211986531742e-01
1.63624617374468380e-02 2.42490864362541592e+00 1.75323977183646812e-01
1.63624617374468380e-02 2.41619292178312994e+00 2.03570357777284966e-01
1.63624617374468380e-02 2.40607637504376815e+00 2.31344131575695416e-01
1.63624617374468380e-02 2.39461529484094005e+00 2.58591084882712596e-01
1.63624617374468380e-02 2.38189492801329283e+00 2.85277714833418017e-01
1.63624617374468380e-02 2.36802897311879423e+00 3.11395013644467034e-01
1.63624617374468380e-02 2.35314924763107713e+00 3.36954137345945204e-01
1.63624617374468380e-02 2.33738369937958979e+00 3.61974799952850701e-01
1.63624617374468380e-02 2.32083201211814449e+00 3.86472382726037011e-01
1.63624617374468380e-02 2.30355341820413484e+00 4.10450994217637255e-01
1.63624617374468380e-02 2.28557529537073201e+00 4.33905907040947891e-01
1.63624617374468380e-02 2.26691733030444542e+00 4.56832592785596847e-01
1.63624617374468380e-02 2.24761493572492244e+00 4.79235451334825369e-01
1.63624617374468380e-02 2.22772616629816067e+00 5.01130179516344976e-01
1.63624617374468380e-02 2.20731864354856411e+00 5.22538711212052309e-01
1.63624617374468380e-02 2.18644775195858010e+00 5.43480951966630821e-01
1.63624617374468380e-02 2.16514327194566780e+00 5.63969280746665746e-01
1.63624617374468380e-02 2.14341422474216170e+00 5.84009033388928067e-01
1.63624617374468380e-02 2.12126704648128417e+00 6.03603394443632424e-01
1.63624617374468380e-02 2.09872197803927429e+00 6.22758120612243116e-01
1.63624617374468380e-02 2.07581474175487690e+00 6.41482417269699345e-01
1.63624617374468380e-02 2.05258308328090600e+00 6.59785971758606427e-01
1.63624617374468380e-02 2.02905020672766545e+00 6.77675368213232154e-01
1.63624617374468380e-02 2.00521936493494568e+00 6.95153253779616787e-01
1.63624617374468380e-02 1.98108423100018260e+00 7.12220822315766333e-01
1.63624617374468380e-02 1.95664631287881119e+00 7.28881057318603642e-01
1.63624617374468380e-02 1.93192474727371066e+00 7.45139530389070770e-01
